,City,Date,Country,Lat,Lon,Temp,Max Temp,Humidity,Wind Speed,Cloudiness
337,Ust'-Omchug,1586805293,RU,61.15,149.63,14.32,14.32,88,2.8,92
338,Comodoro Rivadavia,1586805293,AR,-45.87,-67.5,68.0,68.0,45,5.82,0
339,Brebeni,1586805294,RO,44.37,24.45,61.92,64.0,51,3.36,100
340,Vilyuysk,1586805294,RU,63.76,121.62,14.67,14.67,94,4.88,47
341,Honiara,1586805080,SB,-9.43,159.95,75.2,75.2,94,2.24,20
342,Ilhabela,1586805203,BR,-23.78,-45.36,75.85,75.85,71,12.91,13
343,Biłgoraj,1586805354,PL,50.54,22.72,46.22,48.2,81,11.41,75
344,Puerto Suárez,1586805354,BO,-18.95,-57.8,87.8,87.8,74,6.93,75
345,Leningradskiy,1586805354,RU,69.38,178.42,5.29,5.29,86,2.64,26
346,Mount Isa,1586805356,AU,-20.73,139.5,71.6,71.6,35,8.05,0
347,Andenes,1586805356,NO,69.31,16.12,35.02,35.6,74,21.92,67
348,Slave Lake,1586805356,CA,55.28,-114.77,30.2,30.2,33,5.82,1
349,Lastoursville,1586805357,GA,-0.81,12.73,77.97,77.97,77,0.51,63
350,Isangel,1586805357,VU,-19.55,169.27,75.2,75.2,88,8.52,75
351,Cockburn Town,1586805357,TC,21.46,-71.14,79.25,79.25,81,19.48,2
352,Ayr,1586805357,GB,55.46,-4.63,45.55,46.99,52,3.36,1
353,Mayagüez,1586805357,PR,18.2,-67.14,83.82,87.01,75,11.01,10
354,Sobolevo,1586805357,RU,54.43,31.9,51.13,51.13,80,5.84,69
355,Wajid,1586805357,SO,3.81,43.25,88.48,88.48,42,8.55,89
356,Okhotsk,1586805358,RU,59.38,143.3,22.42,22.42,96,4.43,83
357,Flinders,1586805358,AU,-34.58,150.86,53.35,57.99,93,6.93,0
358,Baruun-Urt,1586805358,MN,46.68,113.28,42.39,42.39,34,3.38,67
359,Nemuro,1586805102,JP,43.32,145.57,31.91,31.91,95,25.88,85
360,Quelimane,1586805358,MZ,-17.88,36.89,80.6,80.6,83,9.17,20
361,Miraflores,1586805358,MX,19.22,-98.81,82.58,87.8,14,3.36,40
362,Bela,1586805358,IN,25.93,81.98,87.84,87.84,17,1.16,0
363,Nantucket,1586805358,US,41.28,-70.1,55.35,57.2,87,31.09,90
364,Saint-Joseph,1586805358,RE,-21.37,55.62,69.82,77.0,73,6.93,99
365,Raudeberg,1586805358,NO,61.99,5.14,36.16,37.4,64,16.11,75
366,Padang,1586805359,ID,-0.95,100.35,78.76,78.76,76,3.06,86
367,Sola,1586805359,VU,-13.88,167.55,80.6,80.6,88,20.11,75
368,Parabel',1586805359,RU,58.7,81.48,33.73,33.73,95,2.77,79
369,Karangampel,1586805359,ID,-6.46,108.45,79.99,79.99,81,4.41,28
370,Robertsport,1586805359,LR,6.75,-11.37,83.26,83.26,73,6.71,86
371,Upington,1586805250,ZA,-28.45,21.26,75.2,75.2,38,12.75,20
372,Poum,1586805359,NC,-20.23,164.02,78.96,78.96,80,10.13,100
373,Pemba,1586805359,MZ,-12.97,40.52,82.4,82.4,83,6.93,75
374,Leer,1586805359,SS,8.3,30.14,87.71,87.71,13,4.25,100
375,Kieta,1586805360,PG,-6.22,155.63,80.19,80.19,78,1.83,5
376,Barra dos Coqueiros,1586805360,BR,-10.91,-37.04,86.0,86.0,66,14.99,75
377,Churapcha,1586805360,RU,62.0,132.43,29.61,29.61,97,8.61,100
378,Hatillo,1586805360,PR,18.49,-66.83,83.77,87.01,71,3.0,3
379,Batemans Bay,1586805360,AU,-35.72,150.18,50.41,55.99,100,3.98,21
380,Rome,1586805125,US,43.21,-75.46,63.39,68.0,77,10.29,90
381,Šibenik,1586805360,HR,43.73,15.91,60.1,60.8,55,4.7,98
382,Vila Velha,1586805101,BR,-20.33,-40.29,77.0,77.0,69,10.29,75
383,Kobryn,1586805361,BY,52.21,24.36,43.48,43.48,62,11.34,86
384,Sibolga,1586805361,ID,1.74,98.78,79.07,79.07,80,2.95,100
385,Emirdağ,1586805361,TR,39.02,31.15,54.39,54.39,32,7.87,19
386,Forsytheganj,1586805361,BY,52.63,29.73,53.02,53.02,80,7.72,78
387,Nan,1586805361,TH,18.83,100.67,71.55,71.55,69,1.92,61
388,Kuršėnai,1586805361,LT,55.98,22.92,32.0,32.0,77,8.05,70
389,Udachny,1586805361,RU,66.42,112.4,33.8,33.8,74,6.71,90
390,Wenling,1586805361,CN,28.37,121.36,47.93,50.0,82,3.04,15
391,Kyabé,1586805362,TD,9.45,18.94,93.43,93.43,28,3.85,60
392,Cuyo,1586805422,PH,10.85,121.01,82.6,82.6,77,12.91,14
393,Kamiiso,1586805422,JP,41.82,140.65,37.04,37.04,80,5.84,34
394,Atar,1586805422,MR,20.52,-13.05,96.26,96.26,12,9.53,69
395,Lucea,1586805422,JM,18.45,-78.17,82.83,86.0,79,21.92,20
396,Touros,1586805422,BR,-5.2,-35.46,87.8,87.8,62,11.41,20
397,San Andrés,1586805423,CO,12.58,-81.7,87.8,87.8,66,13.87,40
398,Río Gallegos,1586805423,AR,-51.62,-69.22,55.4,55.4,43,21.92,93
399,Hammerfest,1586805420,NO,70.66,23.68,33.03,35.6,90,18.34,75
400,Rocha,1586805423,UY,-34.48,-54.33,71.17,71.17,59,5.12,100
401,Coolum Beach,1586805423,AU,-26.53,153.1,62.37,64.0,90,2.73,67
402,Arrondissement de Bar-le-Duc,1586805423,FR,48.75,5.17,51.15,59.0,46,14.99,19
403,Tezpur,1586805423,IN,26.63,92.8,79.9,79.9,36,0.45,76
404,Seoul,1586805423,KR,37.57,126.98,39.79,44.6,75,3.56,1
405,Puerto Ayacucho,1586805423,VE,5.66,-67.62,100.4,100.4,27,10.29,20
406,Houma,1586805423,US,29.6,-90.72,77.83,82.99,54,8.05,1
407,Yārāda,1586805423,IN,17.65,83.27,82.4,82.4,83,2.24,20
408,Cherskiy,1586805424,RU,68.75,161.3,2.98,2.98,86,4.38,78
409,Usinsk,1586805424,RU,65.99,57.53,18.32,18.32,95,9.57,0
410,Hibbing,1586805424,US,47.43,-92.94,27.1,28.99,45,16.11,90
411,Portree,1586805424,GB,57.41,-6.19,39.38,39.99,60,2.01,49
412,Pisco,1586805424,PE,-13.7,-76.22,72.61,73.99,30,10.29,48
413,Tobol,1586805424,KZ,52.68,62.58,38.46,38.46,69,11.21,77
414,Nome,1586805424,US,64.5,-165.41,25.3,26.6,92,4.7,90
415,Bollnäs,1586805425,SE,61.35,16.39,36.0,36.0,62,8.01,100
416,Qax,1586805425,AZ,41.42,46.92,44.6,44.6,75,6.93,40
417,Ngerengere,1586805425,TZ,-6.75,38.12,73.4,73.4,100,1.97,40
418,Nanortalik,1586805425,GL,60.14,-45.24,32.7,32.7,92,10.74,83
419,Payson,1586805404,US,40.04,-111.73,41.18,44.6,26,17.22,40
420,Midland,1586805425,US,32.0,-102.08,49.73,51.8,39,9.17,1
421,Gigmoto,1586805425,PH,13.78,124.39,80.83,80.83,77,12.39,94
422,Campohermoso,1586805425,ES,36.94,-2.13,59.61,60.8,100,6.93,90
423,Faanui,1586805425,PF,-16.48,-151.75,82.99,82.99,70,9.6,44
424,Kirakira,1586805426,SB,-10.45,161.92,80.2,80.2,79,5.93,98
425,Almeirim,1586805426,BR,-1.52,-52.58,77.74,77.74,93,5.61,91
426,Paamiut,1586805426,GL,61.99,-49.67,32.0,32.0,95,14.99,100
427,Toowoomba,1586805426,AU,-27.55,151.97,56.82,57.99,93,8.05,28
428,Vilya,1586805426,RU,55.25,42.21,41.38,41.38,65,7.63,10
429,Chokwé,1586805426,MZ,-24.53,32.98,73.63,73.63,80,6.64,0
430,Onguday,1586805426,RU,50.75,86.15,45.55,45.55,56,3.36,98
431,Dryden,1586805427,CA,49.78,-92.75,23.0,23.0,41,13.87,90
432,Akdepe,1586805427,TM,42.06,59.38,49.06,50.0,42,9.17,99
433,Podyuga,1586805427,RU,61.09,40.86,37.18,37.18,80,11.39,100
434,Teahupoo,1586805427,PF,-17.83,-149.27,86.0,86.0,70,3.36,66
435,Yablochnyy,1586805427,RU,47.17,142.07,21.2,21.2,92,2.24,7
436,Portland,1586805351,US,45.52,-122.68,59.32,62.01,33,5.82,1
437,Mitsamiouli,1586805427,KM,-11.38,43.28,83.89,83.89,78,14.34,100
438,Luganville,1586805427,VU,-15.53,167.17,77.04,77.04,84,9.13,93
439,Adrar,1586805427,MR,20.5,-10.07,93.78,93.78,11,8.84,70
440,Tambacounda,1586805427,SN,13.75,-13.76,102.51,102.51,12,7.34,98
441,Byron Bay,1586805329,AU,-28.65,153.62,55.08,55.99,93,3.62,84
442,Bud,1586805488,US,39.45,-86.18,43.02,46.0,55,10.29,90
443,Kokoda,1586805488,PG,-8.88,147.74,73.94,73.94,67,1.16,64
444,Warrnambool,1586805489,AU,-38.38,142.48,54.0,54.0,83,9.64,62
445,Huilong,1586805489,CN,31.81,121.66,54.19,59.0,77,1.81,47
446,Wexford,1586805489,IE,52.33,-6.46,46.94,48.99,65,11.41,0
447,Turan,1586805423,VN,16.07,108.22,71.6,71.6,78,1.12,75
448,Yankton,1586805489,US,42.87,-97.4,32.47,35.01,63,25.28,75
449,Nelson Bay,1586805490,AU,-32.72,152.15,53.26,55.99,93,5.46,49
450,Saurimo,1586805490,AO,-9.66,20.39,69.49,69.49,68,3.49,88
451,Lensk,1586805490,RU,60.73,114.93,34.63,34.63,84,1.48,99
452,Murgab,1586805490,TM,37.5,61.97,57.2,57.2,71,11.41,90
453,Ghanzi,1586805408,BW,-21.57,21.78,78.96,78.96,23,5.12,60
454,Bar Harbor,1586805411,US,44.39,-68.2,48.9,52.0,93,31.09,90
455,Kologriv,1586805491,RU,58.83,44.32,33.91,33.91,80,7.31,91
456,Hearst,1586805491,CA,49.68,-83.67,21.92,21.92,95,17.16,100
457,Geesthacht,1586805491,DE,53.43,10.37,40.89,42.8,60,17.22,40
458,Dunedin,1586805491,NZ,-45.87,170.5,43.0,43.0,84,28.99,59
459,Ozernovskiy,1586805492,RU,51.5,156.52,26.78,26.78,92,8.5,92
460,Husavik,1586805493,IS,66.04,-17.34,44.6,44.6,92,38.03,20
461,Joshīmath,1586805493,IN,30.57,79.57,53.85,53.85,23,4.0,97
462,Micheweni,1586805493,TZ,-4.97,39.83,82.67,82.67,81,14.5,100
463,Wynyard,1586805493,AU,-41.0,145.72,49.59,50.0,9,1.01,74
464,Yar-Sale,1586805494,RU,66.83,70.83,13.57,13.57,96,9.98,41
465,Berlevåg,1586805494,NO,70.86,29.09,30.2,30.2,92,20.8,90
466,Mondeville,1586805495,FR,49.17,-0.32,46.4,46.4,70,17.22,14
467,Samarinda,1586805495,ID,-0.5,117.15,74.79,74.79,96,1.97,80
468,Ketchikan,1586805495,US,55.34,-131.65,46.4,46.4,61,11.41,90
469,Gurupi,1586805496,BR,-11.73,-49.07,83.5,83.5,74,5.84,84
470,Richards Bay,1586805427,ZA,-28.78,32.04,73.33,73.33,86,13.78,18
471,Praia da Vitória,1586805496,PT,38.73,-27.07,64.4,64.4,72,15.79,20
472,Treinta y Tres,1586805496,UY,-33.23,-54.38,73.2,73.2,55,3.15,100
473,Dubrovka,1586805497,RU,53.69,33.51,51.87,51.87,59,14.97,18
474,Faya,1586805498,SA,18.39,42.45,63.5,64.4,82,3.36,74
475,Saint-Louis,1586805498,SN,16.33,-15.0,105.1,105.1,8,3.98,11
476,Onega,1586805498,RU,63.91,38.14,37.35,37.35,90,17.34,100
477,Crucişor,1586805498,RO,47.68,23.25,61.61,64.4,48,3.36,98
478,Cheney,1586805499,US,47.49,-117.58,47.28,50.0,20,3.36,1
479,Gizo Government Station,1586805499,SB,-8.1,156.84,81.41,81.41,79,3.56,89
480,Belize,1586805499,BZ,17.25,-88.75,100.06,102.2,31,4.7,6
481,Norwalk,1586805277,US,33.9,-118.08,61.21,64.99,67,6.93,90
482,Mirny,1586805499,RU,62.54,113.96,28.4,28.4,79,4.47,29
483,Skjervøy,1586805499,NO,70.03,20.97,35.6,35.6,69,13.87,40
484,Mogadishu,1586805500,SO,2.04,45.34,84.81,84.81,73,14.45,100
485,Dauriya,1586805500,RU,49.93,116.87,39.83,39.83,53,16.42,76
486,Cacoal,1586805494,BR,-11.44,-61.45,83.48,83.48,78,4.9,23
487,Aras,1586805500,ES,42.56,-2.36,57.13,62.6,59,4.7,25
488,Breves,1586805500,BR,-1.68,-50.48,76.3,76.3,83,5.5,99
489,Garden City,1586805500,US,42.33,-83.33,42.06,45.0,52,26.4,90
490,Kushmurun,1586805560,KZ,52.45,64.63,42.69,42.69,58,12.41,49
491,Ust-Nera,1586805561,RU,64.57,143.2,18.07,18.07,88,1.79,100
492,Nhulunbuy,1586805561,AU,-12.23,136.77,78.8,78.8,88,6.93,40
493,Tibati,1586805561,CM,6.47,12.63,77.41,77.41,48,3.56,72
494,Gawler,1586805561,AU,-34.6,138.73,61.74,64.99,42,3.0,0
495,Suez,1586805561,EG,29.97,32.53,66.54,66.54,41,15.14,0
496,Kastamonu Province,1586805561,TR,41.5,33.67,45.99,45.99,47,2.08,0
497,Garoua,1586805561,CM,9.3,13.4,95.0,95.0,15,6.93,66
498,Riyadh,1586805433,SA,24.69,46.72,66.2,66.2,63,6.93,44
499,Hailin,1586805562,CN,44.58,129.42,46.08,46.08,47,3.53,41
500,Jiazi,1586805562,CN,22.88,116.07,63.77,63.77,57,7.14,75
501,Preston,1586805525,GB,53.77,-2.72,44.67,48.0,56,12.75,0
502,Kargil,1586805422,IN,34.57,76.1,33.26,33.26,25,3.8,79
503,Nazarovo,1586805562,RU,56.01,90.39,37.81,37.81,70,6.42,63
504,Broome,1586805426,US,42.25,-75.83,62.69,66.99,82,11.41,90
505,Alofi,1586805562,NU,-19.06,-169.92,78.8,78.8,83,9.17,87
506,Liaqatabad,1586805563,PK,31.56,74.3,77.56,80.6,69,5.41,20
507,Bohdan,1586805563,UA,48.04,24.35,51.42,51.42,57,11.99,100
508,Saint-Prosper,1586805563,CA,46.21,-70.48,48.6,51.01,100,11.01,100
509,Wagar,1586805563,SD,16.15,36.2,82.18,82.18,18,11.45,44
510,Fuzhou,1586805563,CN,26.06,119.31,57.2,57.2,82,4.47,98
511,Kidal,1586805416,ML,18.44,1.41,97.74,97.74,8,9.62,19
512,Naze,1586805564,JP,28.37,129.48,62.6,62.6,51,24.16,20
513,Aljezur,1586805564,PT,37.32,-8.8,60.01,60.01,83,6.89,54
514,Tecomán,1586805564,MX,18.92,-103.88,86.0,86.0,35,5.82,40
515,Ituiutaba,1586805564,BR,-18.97,-49.47,83.62,83.62,51,3.62,8
516,Kuliyapitiya,1586805564,LK,7.47,80.04,78.8,78.8,94,4.7,20
517,Astoria,1586805556,US,46.19,-123.83,58.73,61.0,33,4.9,1
518,Tagusao,1586805564,PH,9.19,117.81,79.12,79.12,78,1.81,73
519,Puerto Carreño,1586805565,CO,6.19,-67.49,100.4,100.4,27,10.29,20
520,Mandera,1586805565,KE,3.94,41.87,84.99,84.99,11,1.99,100
521,Makkah al Mukarramah,1586805565,SA,21.43,39.83,70.95,70.95,42,4.38,2
522,Sūsangerd,1586805565,IR,31.56,48.18,75.2,75.2,31,9.17,0
523,Bambari,1586805565,CF,5.77,20.68,82.0,82.0,47,1.77,76
524,Ugoofaaru,1586805565,MV,5.67,73.0,85.8,85.8,69,9.26,10
525,Progreso,1586805309,MX,21.28,-89.67,104.5,105.01,29,6.13,75
526,São Geraldo do Araguaia,1586805353,BR,-6.4,-48.55,82.81,82.81,83,4.45,94
527,Kitimat,1586805485,CA,54.05,-128.65,44.96,46.99,56,4.7,90
528,Olafsvik,1586805566,IS,64.89,-23.71,39.96,39.96,75,30.11,76
529,Nanhai,1586805566,CN,30.13,111.78,61.0,61.0,62,5.26,84
530,Opuwo,1586805566,NA,-18.06,13.84,76.71,76.71,35,6.4,62
531,Valdivia,1586805566,CL,-39.81,-73.25,62.6,62.6,51,3.36,75
532,Bell Ville,1586805566,AR,-32.63,-62.69,72.0,72.0,56,5.01,66
533,Tiradentes,1586805566,BR,-21.11,-44.18,69.8,69.8,68,6.93,75
534,Porto-Novo,1586805566,BJ,6.5,2.6,86.0,86.0,74,11.41,40
535,Okhtyrka,1586805567,UA,50.31,34.9,53.53,53.53,49,18.1,54
536,Marsá Maţrūḩ,1586805568,EG,31.35,27.25,60.8,60.8,77,5.82,0
537,Srednekolymsk,1586805568,RU,67.45,153.68,17.71,17.71,97,2.1,100
538,Wajima,1586805427,JP,37.4,136.9,46.87,46.87,67,24.54,66
539,Jacksonville,1586805524,US,30.33,-81.66,75.99,79.0,69,6.93,90
540,Kosa,1586805628,RU,59.94,55.0,35.19,35.19,93,6.11,99
541,Gorontalo,1586805628,ID,0.54,123.06,73.96,73.96,84,2.59,98
542,Tacna,1586805628,PE,-18.01,-70.25,76.28,77.0,53,13.87,62
543,Deputatsky,1586805373,RU,69.3,139.9,-0.45,-0.45,86,8.23,100
544,Dorado,1586805628,PR,18.46,-66.27,83.79,86.0,70,14.99,40
545,Port Hardy,1586805629,CA,50.7,-127.42,46.4,46.4,61,6.93,20
546,Severo-Kuril'sk,1586805629,RU,50.68,156.12,25.32,25.32,93,9.33,59
547,Alexandria,1586805629,EG,31.22,29.96,61.23,62.6,67,9.17,43
548,Arvika,1586805629,SE,59.66,12.59,35.96,37.0,37,17.22,93
549,Oussouye,1586805629,SN,12.48,-16.55,82.4,82.4,65,6.93,72
550,Bubaque,1586805630,GW,11.28,-15.83,80.01,80.01,71,14.18,4
551,Xichang,1586805630,CN,27.9,102.26,53.01,53.01,62,1.61,100
552,Zhuhai,1586805630,CN,22.28,113.57,67.03,68.0,63,6.13,20
